Reporting unit,Reporting unit type,State,Peer group,Year,Triage category,Number of presentations,,Percentage of patients seen on time
Cowra Health Service,Hospital,NSW,Small hospitals,2018–19,Urgent,"1,904",,91%
Cowra Health Service,Hospital,NSW,Small hospitals,2019–20,Urgent,"1,810",,93%
Cowra Health Service,Hospital,NSW,Small hospitals,2020–21,Urgent,"1,823",,94%
Cowra Health Service,Hospital,NSW,Small hospitals,2021–22,Urgent,"1,811",,93%
Cowra Health Service,Hospital,NSW,Small hospitals,2022–23,Urgent,"2,247",,85%
Cowra Health Service,Hospital,NSW,Small hospitals,2023–24,Urgent,"2,577",,91%
Crookwell District Hospital,Hospital,NSW,Unpeered,2013–14,Emergency,70,,79%
Crookwell District Hospital,Hospital,NSW,Unpeered,2014–15,Emergency,90,,98%
Crookwell District Hospital,Hospital,NSW,Unpeered,2015–16,Emergency,110,,86%
Crookwell District Hospital,Hospital,NSW,Unpeered,2016–17,Emergency,114,,75%
Crookwell District Hospital,Hospital,NSW,Unpeered,2017–18,Emergency,142,,83%
Crookwell District Hospital,Hospital,NSW,Unpeered,2018–19,Emergency,199,,83%
Crookwell District Hospital,Hospital,NSW,Unpeered,2019–20,Emergency,249,,82%
Crookwell District Hospital,Hospital,NSW,Unpeered,2020–21,Emergency,236,,82%
Crookwell District Hospital,Hospital,NSW,Unpeered,2021–22,Emergency,296,,86%
Crookwell District Hospital,Hospital,NSW,Unpeered,2022–23,Emergency,328,,88%
Crookwell District Hospital,Hospital,NSW,Unpeered,2023–24,Emergency,360,,97%
Crookwell District Hospital,Hospital,NSW,Unpeered,2013–14,Non-Urgent,"1,078",,96%
Crookwell District Hospital,Hospital,NSW,Unpeered,2014–15,Non-Urgent,"1,086",,95%
Crookwell District Hospital,Hospital,NSW,Unpeered,2015–16,Non-Urgent,972,,NP†
Crookwell District Hospital,Hospital,NSW,Unpeered,2016–17,Non-Urgent,997,,NP†
Crookwell District Hospital,Hospital,NSW,Unpeered,2017–18,Non-Urgent,862,,98%
Crookwell District Hospital,Hospital,NSW,Unpeered,2018–19,Non-Urgent,868,,97%
Crookwell District Hospital,Hospital,NSW,Unpeered,2019–20,Non-Urgent,800,,98%
Crookwell District Hospital,Hospital,NSW,Unpeered,2020–21,Non-Urgent,593,,98%
Crookwell District Hospital,Hospital,NSW,Unpeered,2021–22,Non-Urgent,315,,97%
Crookwell District Hospital,Hospital,NSW,Unpeered,2022–23,Non-Urgent,462,,100%
Crookwell District Hospital,Hospital,NSW,Unpeered,2023–24,Non-Urgent,357,,100%
Crookwell District Hospital,Hospital,NSW,Unpeered,2013–14,Resuscitation,6,,NP
Crookwell District Hospital,Hospital,NSW,Unpeered,2014–15,Resuscitation,<5,,NP
Crookwell District Hospital,Hospital,NSW,Unpeered,2015–16,Resuscitation,0,,-
Crookwell District Hospital,Hospital,NSW,Unpeered,2016–17,Resuscitation,<5,,NP
Crookwell District Hospital,Hospital,NSW,Unpeered,2017–18,Resuscitation,<5,,NP
Crookwell District Hospital,Hospital,NSW,Unpeered,2018–19,Resuscitation,5,,NP
Crookwell District Hospital,Hospital,NSW,Unpeered,2013–14,Semi-Urgent,"1,267",,83%
Crookwell District Hospital,Hospital,NSW,Unpeered,2014–15,Semi-Urgent,"1,636",,88%
Crookwell District Hospital,Hospital,NSW,Unpeered,2015–16,Semi-Urgent,"1,603",,85%
Crookwell District Hospital,Hospital,NSW,Unpeered,2016–17,Semi-Urgent,"1,634",,88%
Crookwell District Hospital,Hospital,NSW,Unpeered,2017–18,Semi-Urgent,"1,684",,91%
Crookwell District Hospital,Hospital,NSW,Unpeered,2018–19,Semi-Urgent,"1,556",,89%
Crookwell District Hospital,Hospital,NSW,Unpeered,2019–20,Semi-Urgent,"1,438",,89%
Crookwell District Hospital,Hospital,NSW,Unpeered,2020–21,Semi-Urgent,"1,232",,92%
Crookwell District Hospital,Hospital,NSW,Unpeered,2021–22,Semi-Urgent,"1,221",,96%
Crookwell District Hospital,Hospital,NSW,Unpeered,2022–23,Semi-Urgent,"1,325",,97%
Crookwell District Hospital,Hospital,NSW,Unpeered,2023–24,Semi-Urgent,"1,302",,98%
Crookwell District Hospital,Hospital,NSW,Unpeered,2013–14,Urgent,432,,83%
Crookwell District Hospital,Hospital,NSW,Unpeered,2014–15,Urgent,666,,92%
Crookwell District Hospital,Hospital,NSW,Unpeered,2015–16,Urgent,651,,85%
Crookwell District Hospital,Hospital,NSW,Unpeered,2016–17,Urgent,857,,80%
Crookwell District Hospital,Hospital,NSW,Unpeered,2017–18,Urgent,"1,003",,85%
Crookwell District Hospital,Hospital,NSW,Unpeered,2018–19,Urgent,996,,87%
Crookwell District Hospital,Hospital,NSW,Unpeered,2019–20,Urgent,838,,85%
Crookwell District Hospital,Hospital,NSW,Unpeered,2020–21,Urgent,982,,87%
Crookwell District Hospital,Hospital,NSW,Unpeered,2021–22,Urgent,882,,91%
Crookwell District Hospital,Hospital,NSW,Unpeered,2022–23,Urgent,"1,095",,94%
Crookwell District Hospital,Hospital,NSW,Unpeered,2023–24,Urgent,"1,112",,97%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Emergency,24,,92%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Emergency,37,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Emergency,28,,96%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Emergency,18,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Emergency,13,,92%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Emergency,33,,73%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Emergency,44,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Emergency,35,,83%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Emergency,47,,74%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Emergency,61,,80%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Emergency,69,,80%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Non-Urgent,272,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Non-Urgent,181,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Non-Urgent,274,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Non-Urgent,285,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Non-Urgent,240,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Non-Urgent,234,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Non-Urgent,213,,99%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Non-Urgent,378,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Non-Urgent,609,,98%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Non-Urgent,232,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Non-Urgent,298,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Resuscitation,<5,,NP
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Resuscitation,<5,,NP
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Resuscitation,<5,,NP
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Resuscitation,<5,,NP
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Resuscitation,0,,-
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Resuscitation,<5,,NP
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Semi-Urgent,305,,97%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Semi-Urgent,334,,98%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Semi-Urgent,279,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Semi-Urgent,323,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Semi-Urgent,334,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Semi-Urgent,359,,98%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Semi-Urgent,384,,98%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Semi-Urgent,175,,96%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Semi-Urgent,223,,97%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Semi-Urgent,276,,94%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Semi-Urgent,281,,99%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Urgent,136,,92%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Urgent,152,,98%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Urgent,140,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Urgent,82,,100%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Urgent,107,,93%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Urgent,156,,94%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Urgent,153,,96%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Urgent,110,,99%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Urgent,200,,92%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Urgent,221,,90%
Culcairn Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Urgent,280,,90%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Emergency,9,,NP
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Emergency,9,,NP
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Emergency,9,,NP
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Emergency,0,,-
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Emergency,6,,NP†
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Emergency,8,,NP
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Emergency,12,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Emergency,10,,90%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Non-Urgent,44,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Non-Urgent,47,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Non-Urgent,26,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Non-Urgent,110,,94%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Non-Urgent,109,,NP†
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Non-Urgent,82,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Non-Urgent,72,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Non-Urgent,73,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Non-Urgent,66,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Non-Urgent,72,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Resuscitation,0,,-
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Resuscitation,<5,,NP
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Resuscitation,0,,-
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Resuscitation,0,,-
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Resuscitation,0,,-
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Resuscitation,0,,-
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Semi-Urgent,29,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Semi-Urgent,28,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Semi-Urgent,13,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Semi-Urgent,27,,96%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Semi-Urgent,35,,91%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Semi-Urgent,38,,95%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Semi-Urgent,35,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Semi-Urgent,23,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Semi-Urgent,28,,96%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Urgent,15,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Urgent,10,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Urgent,7,,NP
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Urgent,16,,69%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Urgent,28,,NP†
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Urgent,15,,71%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Urgent,19,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Urgent,12,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Urgent,10,,100%
Delegate Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Urgent,20,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2013–14,Emergency,204,,90%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2014–15,Emergency,346,,97%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2015–16,Emergency,346,,99%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2016–17,Emergency,320,,97%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2017–18,Emergency,384,,95%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2018–19,Emergency,354,,97%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2019–20,Emergency,295,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2020–21,Emergency,430,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2021–22,Emergency,548,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2022–23,Emergency,668,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2023–24,Emergency,705,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2013–14,Non-Urgent,762,,99%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2014–15,Non-Urgent,"1,142",,96%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2015–16,Non-Urgent,"1,037",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2016–17,Non-Urgent,"1,321",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2017–18,Non-Urgent,"1,295",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2018–19,Non-Urgent,"1,843",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2019–20,Non-Urgent,"1,735",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2020–21,Non-Urgent,"2,079",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2021–22,Non-Urgent,"2,404",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2022–23,Non-Urgent,"2,512",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2023–24,Non-Urgent,"2,311",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2013–14,Resuscitation,12,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2014–15,Resuscitation,11,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2015–16,Resuscitation,21,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2016–17,Resuscitation,13,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2017–18,Resuscitation,8,,NP
Deniliquin Hospital,Hospital,NSW,Small hospitals,2018–19,Resuscitation,16,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2020–21,Resuscitation,13,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2021–22,Resuscitation,29,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2022–23,Resuscitation,15,,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2013–14,Semi-Urgent,"2,946",,88%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2014–15,Semi-Urgent,"3,019",,94%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2015–16,Semi-Urgent,"3,280",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2016–17,Semi-Urgent,"3,275",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2017–18,Semi-Urgent,"3,132",,99%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2018–19,Semi-Urgent,"3,593",,98%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2019–20,Semi-Urgent,"3,656",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2020–21,Semi-Urgent,"3,311",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2021–22,Semi-Urgent,"3,725",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2022–23,Semi-Urgent,"4,438",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2023–24,Semi-Urgent,"4,199",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2013–14,Urgent,"2,054",,92%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2014–15,Urgent,"2,048",,91%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2015–16,Urgent,"2,409",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2016–17,Urgent,"2,420",,99%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2017–18,Urgent,"2,323",,97%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2018–19,Urgent,"2,125",,96%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2019–20,Urgent,"1,712",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2020–21,Urgent,"1,883",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2021–22,Urgent,"2,041",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2022–23,Urgent,"2,270",,100%
Deniliquin Hospital,Hospital,NSW,Small hospitals,2023–24,Urgent,"2,308",,100%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2011–12,Emergency,18,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2012–13,Emergency,23,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Emergency,27,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Emergency,24,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Emergency,37,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Emergency,17,,82%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Emergency,14,,85%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Emergency,20,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Emergency,19,,100%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Emergency,14,,92%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Emergency,41,,98%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2011–12,Non-Urgent,126,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2012–13,Non-Urgent,95,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Non-Urgent,69,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Non-Urgent,77,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Non-Urgent,56,,100%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Non-Urgent,37,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Non-Urgent,77,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Non-Urgent,76,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Non-Urgent,70,,100%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Non-Urgent,75,,100%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2011–12,Resuscitation,0,,-
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2012–13,Resuscitation,0,,-
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Resuscitation,0,,-
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Resuscitation,0,,-
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Resuscitation,0,,-
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Resuscitation,<5,,NP
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Resuscitation,0,,-
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Resuscitation,0,,-
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2011–12,Semi-Urgent,156,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2012–13,Semi-Urgent,109,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Semi-Urgent,119,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Semi-Urgent,152,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Semi-Urgent,121,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Semi-Urgent,61,,91%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Semi-Urgent,107,,95%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Semi-Urgent,80,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Semi-Urgent,80,,93%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Semi-Urgent,49,,96%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Semi-Urgent,133,,98%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2011–12,Urgent,46,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2012–13,Urgent,56,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Urgent,70,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Urgent,66,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Urgent,96,,96%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Urgent,45,,93%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Urgent,54,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Urgent,32,,NP†
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Urgent,44,,98%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Urgent,23,,86%
Denman Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Urgent,80,,98%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Emergency,91,,77%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Emergency,85,,82%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Emergency,74,,86%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Emergency,104,,94%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Emergency,102,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Emergency,151,,85%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Emergency,128,,84%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Emergency,123,,97%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Emergency,134,,88%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Emergency,118,,97%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Emergency,112,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Non-Urgent,"1,122",,NP†
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Non-Urgent,"1,065",,98%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Non-Urgent,732,,99%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Non-Urgent,553,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Non-Urgent,401,,99%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Non-Urgent,398,,99%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Non-Urgent,492,,99%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Non-Urgent,320,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Non-Urgent,455,,99%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Non-Urgent,548,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Non-Urgent,610,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Resuscitation,<5,,NP
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Resuscitation,0,,-
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Resuscitation,<5,,NP
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Resuscitation,<5,,NP
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Resuscitation,<5,,NP
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Resuscitation,<5,,NP
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Semi-Urgent,787,,94%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Semi-Urgent,856,,95%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Semi-Urgent,791,,98%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Semi-Urgent,714,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Semi-Urgent,576,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Semi-Urgent,608,,94%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2019–20,Semi-Urgent,666,,96%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2020–21,Semi-Urgent,607,,99%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2021–22,Semi-Urgent,454,,98%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2022–23,Semi-Urgent,493,,99%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2023–24,Semi-Urgent,630,,100%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2013–14,Urgent,264,,91%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2014–15,Urgent,354,,93%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2015–16,Urgent,427,,95%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2016–17,Urgent,332,,98%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2017–18,Urgent,357,,96%
Dorrigo Multi Purpose Service,Hospital,NSW,Unpeered,2018–19,Urgent,500,,89%
